Year,Season,Bronze,Gold,Silver
1896,Summer,3,2,1
1900,Summer,2,1,2
1904,Summer,1,2,1
1906,Summer,3,2,5
1908,Summer,2,3,3
1912,Summer,2,3,1
1924,Summer,3,2,4
1928,Summer,0,5,4
1932,Summer,4,6,5
1932,Winter,1,0,0
1936,Summer,4,10,1
1936,Winter,1,0,0
1948,Summer,11,10,4
1948,Winter,0,0,1
1952,Summer,10,16,6
1952,Winter,1,0,0
1956,Summer,7,9,10
1956,Winter,1,0,0
1960,Summer,7,6,6
1964,Summer,4,10,7
1968,Summer,11,10,10
1972,Summer,14,6,13
1976,Summer,13,4,5
1980,Summer,15,7,9
1980,Winter,0,0,1
1988,Summer,6,11,6
1992,Summer,6,11,11
1996,Summer,10,7,3
2000,Summer,3,8,6
2004,Summer,3,8,6
2008,Summer,2,3,5
2012,Summer,6,8,4
2016,Summer,4,8,3
