Year,Height,Weight,Age,Total
1896,0,0,6,7
1900,1,1,12,18
1904,1,1,4,4
1908,6,17,52,65
1912,7,16,119,121
1924,9,5,75,87
1928,13,6,87,104
1932,20,7,44,46
1936,21,17,209,209
1948,32,35,116,126
1952,56,58,177,189
1956,47,47,110,111
1960,183,183,184,184
1964,182,182,182,182
1968,167,167,167,167
1972,231,230,232,232
1976,177,177,178,178
1980,262,262,263,263
1988,188,188,188,188
1992,215,215,217,217
1996,210,210,213,213
2000,177,177,178,178
2004,209,209,209,209
2008,171,171,171,171
2012,151,151,152,152
2016,154,154,154,154
